Date,Clicks,Impressions,Position
2022-06-17,184,8134,27.77
2022-06-16,265,10111,29.71
2022-06-15,230,9656,28.99
2022-06-14,231,10556,30.01
2022-06-13,165,9560,32.26
2022-06-12,134,9177,37.14
2022-06-11,119,6799,33.73
2022-06-10,197,10598,30.43
2022-06-09,216,9860,31.18
2022-06-08,261,10269,30.80
2022-06-07,241,9477,29.07
2022-06-06,235,10890,29.62
2022-06-05,135,8755,34.62
2022-06-04,113,6096,32.04
2022-06-03,163,8546,32.88
2022-06-02,211,9506,23.34
2022-06-01,180,9553,30.96
2022-05-31,199,12529,37.78
2022-05-30,227,10930,31.26
2022-05-29,159,10649,37.87
2022-05-28,117,6662,33.02
2022-05-27,168,7667,31.17
2022-05-26,215,9566,32.00
2022-05-25,197,9072,31.35
2022-05-24,198,8268,32.12
2022-05-23,193,9837,31.82
2022-05-22,158,10490,33.93
2022-05-21,130,5502,33.61
2022-05-20,171,8252,33.41
2022-05-19,187,10219,31.69
2022-05-18,166,8700,32.14
2022-05-17,201,7757,28.20
2022-05-16,200,9530,32.97
2022-05-15,143,9714,32.35
2022-05-14,98,5750,35.39
2022-05-13,148,7254,33.70
2022-05-12,223,7358,30.70
2022-05-11,176,7550,30.10
2022-05-10,107,5763,29.60
2022-05-09,100,5543,33.80
2022-05-08,88,5312,34.10
2022-05-07,80,4494,32.30
2022-05-06,128,5707,29.09
2022-05-05,158,7306,29.74
2022-05-04,178,7935,31.27
2022-05-03,124,6516,29.88
2022-05-02,119,6015,32.92
2022-05-01,77,5398,35.17
2022-04-30,95,6883,35.12
2022-04-29,145,9182,39.30
2022-04-28,179,8405,32.16
2022-04-27,194,6404,27.05
2022-04-26,206,8351,32.07
2022-04-25,184,7141,29.29
2022-04-24,130,6315,33.85
2022-04-23,97,4558,31.57
2022-04-22,139,6939,25.54
2022-04-21,196,6669,28.37
2022-04-20,191,7033,27.01
2022-04-19,197,9779,26.75
2022-04-18,204,7856,27.13
2022-04-17,157,6517,31.79
2022-04-16,100,4601,29.67
2022-04-15,137,5880,25.60
2022-04-14,214,7278,26.60
2022-04-13,201,6962,26.08
2022-04-12,193,7205,27.41
2022-04-11,191,7537,28.95
2022-04-10,108,6264,28.46
2022-04-09,119,4713,28.06
2022-04-08,154,7662,31.31
2022-04-07,199,7100,24.06
2022-04-06,224,7219,25.27
2022-04-05,205,8275,26.61
2022-04-04,193,7751,27.41
2022-04-03,123,5965,29.75
2022-04-02,112,4859,28.36
2022-04-01,146,6519,27.08
2022-03-31,218,8335,30.11
2022-03-30,213,8595,29.56
2022-03-29,223,8445,26.18
2022-03-28,198,7021,25.97
2022-03-27,150,5912,27.70
2022-03-26,108,4812,28.46
2022-03-25,177,8708,25.94
2022-03-24,212,6617,25.15
2022-03-23,177,6985,23.89
2022-03-22,197,6703,27.02
2022-03-21,199,6528,25.40
2022-03-20,149,5835,29.65
2022-03-19,106,5161,30.78
2022-03-18,178,7123,26.00
2022-03-17,186,6754,24.38
2022-03-16,199,8119,28.37
2022-03-15,166,8678,27.21
2022-03-14,192,8450,29.88
2022-03-13,112,8111,38.33
2022-03-12,115,6508,30.73
2022-03-11,150,6763,27.15
2022-03-10,198,7860,29.46
2022-03-09,196,7885,27.61
2022-03-08,97,6845,30.83
2022-03-07,108,6341,34.56
2022-03-06,101,7796,32.57
2022-03-05,113,6883,32.03
2022-03-04,104,8023,30.76
2022-03-03,135,7942,29.99
2022-03-02,150,7772,29.84
2022-03-01,156,9741,28.70
2022-02-28,141,8059,33.16
2022-02-27,110,8593,34.17
2022-02-26,93,5539,30.29
2022-02-25,92,6779,30.76
2022-02-24,117,8979,31.74
2022-02-23,155,8582,31.84
